,Date,close,MACD^STOCH,CCI^STOCH,MA5&MA10^STOCH,MA5&MA10^MA5&MA15,MA5&MA15^STOCH,MA5&MA15^MA5&MA15,MA5&MA15^MA10&MA15,MA5&MA15^MA10&MA30,MA10&MA15^MACD,MA10&MA15^STOCH,MA10&MA15^MA5&MA30,MA10&MA30^STOCH,MA10&MA30^MA5&MA15,MA15&MA30^STOCH,MA15&MA30^MA5&MA15
162,2011-04-27,22.9088020325,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,0
163,2011-04-28,22.531873703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2011-04-29,22.1968288422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2011-05-03,22.2387084961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2011-05-04,22.9088020325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2011-05-05,23.0763244629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2011-05-06,23.3694915771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2011-05-09,23.6626567841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2011-05-10,23.3694915771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2011-05-11,22.783159256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2011-05-12,22.9506835938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2011-05-13,22.531873703,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
174,2011-05-16,22.2805900574,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1
175,2011-05-17,22.5737552643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2011-05-18,22.7412776947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2011-05-19,21.7361392975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2011-05-20,21.3592128754,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0
179,2011-05-23,21.2335681915,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
180,2011-05-24,21.5686168671,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
181,2011-05-25,21.1916885376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2011-05-26,21.2754497528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2011-05-27,21.610496521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2011-05-30,22.0293045044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2011-05-31,22.4062328339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2011-06-01,22.0711860657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2011-06-02,21.4429721832,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,0
188,2011-06-03,21.1916885376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2011-06-07,21.1498088837,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1
190,2011-06-08,20.9822845459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2011-06-09,21.0241641998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2011-06-10,21.0241641998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2011-06-13,20.2284297943,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
194,2011-06-14,20.186548233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2011-06-15,19.516456604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2011-06-16,18.9301242828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2011-06-17,19.1814098358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2011-06-20,19.0138874054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2011-06-21,19.265171051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2011-06-22,19.0557670593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2011-06-23,18.6369590759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2011-06-24,18.9301242828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2011-06-27,18.8882446289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2011-06-28,19.1395282745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2011-06-29,19.1814098358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2011-06-30,19.3489322662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2011-07-01,19.4326953888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2011-07-04,19.1814098358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2011-07-05,18.8463630676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2011-07-06,18.6369590759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2011-07-07,18.8044834137,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1
212,2011-07-08,18.9301242828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2011-07-11,19.1814098358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2011-07-12,18.6788406372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2011-07-13,18.6369590759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2011-07-14,17.5061779022,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
217,2011-07-15,17.7993431091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2011-07-18,17.7574615479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2011-07-19,17.3386535645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2011-07-20,17.5480575562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2011-07-21,17.5899391174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2011-07-22,17.422416687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2011-07-25,17.5061779022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2011-07-26,17.3805351257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2011-07-27,17.3386535645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2011-07-28,16.9198455811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2011-07-29,16.5429191589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2011-08-01,16.6266803741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2011-08-02,16.5848007202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2011-08-03,16.249753952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2011-08-04,16.1659927368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2011-08-05,15.0352096558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2011-08-08,13.9881896973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2011-08-09,14.6164016724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2011-08-10,15.118970871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2011-08-11,14.5745210648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2011-08-12,14.65828228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2011-08-15,15.2446136475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2011-08-16,15.3283748627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2011-08-17,15.5796604156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2011-08-18,15.2027330399,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,0
242,2011-08-19,14.7839250565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2011-08-22,15.118970871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2011-08-23,15.7471828461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2011-08-24,15.4121370316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2011-08-25,15.4540176392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
