,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA20&TEMA60^KAMA10&EMA60,EMA20&TEMA60^DEMA60&MA60,EMA20&TEMA60^DEMA60&SMA60,WMA20&TEMA60^DEMA60&EMA60,KAMA60&MA60^KAMA5&EMA60,KAMA60&MA60^EMA10&DEMA20,KAMA60&MA60^TRIMA60&WMA60,KAMA60&SMA60^EMA10&DEMA20,KAMA60&SMA60^TRIMA60&WMA60,KAMA60&TRIMA60^KAMA5&EMA60
149,2022-12-13,471.5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
150,2022-12-14,480.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2022-12-15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-02-15,633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2022-02-16,646.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
154,2022-02-17,645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-02-18,637.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
156,2022-02-21,632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2022-02-22,627.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2022-01-06,644.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2022-02-23,625.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
160,2022-02-24,604.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
161,2022-02-25,604.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2022-03-01,604.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
163,2022-03-02,601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2022-03-03,602.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
165,2022-03-04,595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2022-03-07,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2022-03-08,563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2022-03-09,568.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
169,2022-01-07,634.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2022-03-10,587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2022-03-11,575.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2022-03-14,572.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
173,2022-03-15,558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2022-03-16,558.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
175,2022-03-17,582.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2022-03-18,581.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2022-03-21,586.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
178,2022-03-22,583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2022-03-23,590.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
180,2022-01-10,643.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
181,2022-03-24,591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2022-03-25,598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2022-03-28,584.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
184,2022-03-29,589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2022-03-30,600.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
186,2022-03-31,597.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2022-04-01,589.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
