,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,KAMA10&MA60^DEMA60&TEMA60,KAMA10&SMA60^DEMA60&TEMA60,EMA20&DEMA60^KAMA10&EMA60,EMA20&DEMA60^DEMA20&EMA60,EMA20&DEMA60^EMA20&MA60,EMA20&DEMA60^TRIMA20&MA60,EMA20&DEMA60^TRIMA20&SMA60,EMA20&DEMA60^WMA20&EMA60,EMA20&DEMA60^WMA20&MA60,EMA20&DEMA60^WMA20&SMA60
168,2022-01-07,20.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2022-03-10,20.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2022-03-11,20.25,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
171,2022-03-14,20.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2022-03-15,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2022-03-16,20.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
174,2022-03-17,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2022-03-18,20.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2022-03-21,20.6499996185,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
177,2022-03-22,20.8999996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
178,2022-03-23,20.75,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
179,2022-01-10,20.6499996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
180,2022-03-24,20.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2022-03-25,20.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2022-03-28,20.9500007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
183,2022-03-29,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2022-03-30,21.4500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2022-03-31,21.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2022-04-01,21.7999992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
187,2022-04-06,22.6499996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
