Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
307.0,2012-06-18,MA5&MA15^MA5&MA15,-1.0,14.3733615875,14000.000000000002,559.0,0.0399285714285714,,,,,,,
508.0,2012-06-18,MA10&MA15^MA5&MA30,1.0,14.3733615875,27500.000000000004,,,,,,,,,
269.0,2012-06-18,MA5&MA15^STOCH,-1.0,14.3733615875,12000.0,479.0,0.0399166666666666,,,,,,,
509.0,2012-06-25,MA10&MA15^MA5&MA30,-1.0,14.096950531,27500.000000000004,-528.0,-0.0192,,,,,,,
228.0,2012-07-02,MA5&MA10^MA5&MA15,1.0,14.8801145554,18000.0,,,,,,,,,
229.0,2012-07-05,MA5&MA10^MA5&MA15,-1.0,15.2025947571,18000.0,390.0,0.0216666666666666,,,,,,,
230.0,2012-07-19,MA5&MA10^MA5&MA15,1.0,15.110458374,18000.0,,,,,,,,,
231.0,2012-07-23,MA5&MA10^MA5&MA15,-1.0,14.787979126,18000.0,-384.0,-0.0213333333333333,,,,,,,
232.0,2012-08-01,MA5&MA10^MA5&MA15,1.0,15.6632785797,18000.0,,,,,,,,,
308.0,2012-08-01,MA5&MA15^MA5&MA15,1.0,15.6632785797,14000.000000000002,,,,,,,,,
270.0,2012-08-01,MA5&MA15^STOCH,1.0,15.6632785797,12000.0,,,,,,,,,
309.0,2012-08-03,MA5&MA15^MA5&MA15,-1.0,15.4329366684,14000.000000000002,-205.0,-0.0146428571428571,,,,,,,
271.0,2012-08-03,MA5&MA15^STOCH,-1.0,15.4329366684,12000.0,-176.0,-0.0146666666666666,,,,,,,
233.0,2012-08-03,MA5&MA10^MA5&MA15,-1.0,15.4329366684,18000.0,-264.0,-0.0146666666666666,,,,,,,
510.0,2012-08-06,MA10&MA15^MA5&MA30,1.0,15.9396896362,27500.000000000004,,,,,,,,,
511.0,2012-08-08,MA10&MA15^MA5&MA30,-1.0,16.1239643097,27500.000000000004,317.0,0.0115272727272727,,,,,,,
234.0,2012-09-13,MA5&MA10^MA5&MA15,1.0,14.6037054062,18000.0,,,,,,,,,
235.0,2012-09-17,MA5&MA10^MA5&MA15,-1.0,15.4790058136,18000.0,1078.0,0.0598888888888888,,,,,,,
272.0,2012-09-18,MA5&MA15^STOCH,1.0,15.3408002853,12000.0,,,,,,,,,
310.0,2012-09-18,MA5&MA15^MA5&MA15,1.0,15.3408002853,14000.000000000002,,,,,,,,,
512.0,2012-09-19,MA10&MA15^MA5&MA30,1.0,15.7093477249,27500.000000000004,,,,,,,,,
273.0,2012-09-19,MA5&MA15^STOCH,-1.0,15.7093477249,12000.0,288.0,0.024,,,,,,,
311.0,2012-09-19,MA5&MA15^MA5&MA15,-1.0,15.7093477249,14000.000000000002,336.0,0.0239999999999999,,,,,,,
513.0,2012-09-20,MA10&MA15^MA5&MA30,-1.0,15.4329366684,27500.000000000004,-483.0,-0.0175636363636363,,,,,,,
236.0,2012-10-17,MA5&MA10^MA5&MA15,1.0,14.4194307327,18000.0,,,,,,,,,
237.0,2012-10-18,MA5&MA10^MA5&MA15,-1.0,14.6037054062,18000.0,230.0,0.0127777777777777,,,,,,,
312.0,2012-10-18,MA5&MA15^MA5&MA15,1.0,14.6037054062,14000.000000000002,,,,,,,,,
274.0,2012-10-18,MA5&MA15^STOCH,1.0,14.6037054062,12000.0,,,,,,,,,
275.0,2012-10-19,MA5&MA15^STOCH,-1.0,14.649772644,12000.0,37.0,0.0030833333333333,,,,,,,
